id,title,href,category,keywords
site-sp2s-universal-pods,SP2S 煙彈（一代通用·多口味）,/product/sp2s-universal-pods,菸彈,sp2s 煙彈（一代通用·多口味） 菸彈
site-lana-pods,LANA／lana 煙彈,/product/lana-pods,菸彈,lana／lana 煙彈 菸彈
site-diya-pods,DIYA 叮啞煙彈,/product/diya-pods,菸彈,diya 叮啞煙彈 菸彈
site-sp2s-gen1-pods,SP2S 一代煙彈,/product/sp2s-gen1-pods,菸彈,sp2s 一代煙彈 菸彈
site-bullet,SP2S 思博瑞一代主機,/product/bullet,主機,sp2s 思博瑞一代主機 主機
site-pro,SP2S Pro 主機,/product/pro,主機,sp2s pro 主機 主機
site-lanna,LANA 皮革主機,/product/lanna,主機,lana 皮革主機 主機
site-cartoon,卡通限量一代通配主機,/product/cartoon,主機,卡通限量一代通配主機 主機
site-atomizer,原子棒一代通配主機,/product/atomizer,主機,原子棒一代通配主機 主機
site-diya,DIYA 叮啞霧化桿,/product/diya,主機,diya 叮啞霧化桿 主機
site-disp-vapengin,VENUS 金星主機,/product/venus-host,主機,venus 金星主機 主機
site-disp-mohoo-box,TOKYO MOHOO BOX 東京魔盒,/product/mohoo-tokyo-box,拋棄式,tokyo mohoo box 東京魔盒 拋棄式
site-disp-hebat,HEBAT 喜貝六代,/product/hebat-gen6,拋棄式,hebat 喜貝六代 拋棄式
site-disp-diya-7500,DIYA 拋棄式 7500 口,/product/diya-7500,拋棄式,diya 拋棄式 7500 口 拋棄式
site-disp-jupiter,JUPITER 木星套裝 6500 口,/product/jupiter-6500,拋棄式,jupiter 木星套裝 6500 口 拋棄式
site-disp-vapor-storm,VAPOR STORM 風暴 5000 口,/product/vapor-storm-5000,拋棄式,vapor storm 風暴 5000 口 拋棄式
site-showcase-gen5,風暴五代煙彈,/product/vapor-storm-gen5-pods,菸彈,風暴五代煙彈 菸彈
site-showcase-e-liquid,LANA 煙油 30ml,/product/lana-e-liquid-30ml,煙油,lana 煙油 30ml 煙油
site-showcase-gear,SP2S 矽膠保護套／掛繩,/product/sp2s-silicone-sleeve,配件,sp2s 矽膠保護套／掛繩 配件
