Type,SKU,Name,Published,Is featured?,Visibility in catalog,Regular price,In stock?,Stock status,Manage stock?,Stock,Backorders allowed?,Attribute 1 name,Attribute 1 value(s),Attribute 1 default,Attribute 1 visible,Attribute 1 global,Attribute 1 variation,Images,Parent,Short description
variable,relx-pod-pro2-pods,RELX悅刻 POD PRO 2 菸彈,1,0,visible,,1,instock,0,999,0,口味,"可樂冰, 冰爽紅茶, 老冰棍, 沙士汽水, 芒果, 金桔百香果, 勁涼龍井, 勁涼檸檬紅茶, 勁涼觀音, 勁爽薄荷, 南極茉莉, 洛神花茶, 香芋冰淇淋, 海鹽檸檬, 草莓, 荔枝, 混合莓果, 清涼西瓜, 清新薄荷, 雪碧, 菠蘿, 黃金奇異果, 極涼青提, 極涼青檸, 經典菸草, 葡萄, 零度薄荷, 綠豆, 綠茶, 蜜桃, 蜜桃烏龍茶, 熱情番石榴, 樹頂蘋果, 橘子汽水, 藍莓, 覆盆子冰",可樂冰,1,0,1,https://sp2s.app/wp-content/uploads/2026/05/relx-pod-pro2-pods.jpg,,台灣現貨，支援貨到付款；下單前可透過 LINE ID 聯繫確認口味、規格與庫存。
variation,relx-pod-pro2-pods-001,RELX悅刻 POD PRO 2 菸彈 - 可樂冰,1,0,visible,299,1,instock,0,999,0,口味,可樂冰,,1,0,1,https://sp2s.app/wp-content/uploads/2026/05/relx-pod-pro2-pods.jpg,relx-pod-pro2-pods,台灣現貨，支援貨到付款；下單前可透過 LINE ID 聯繫確認口味、規格與庫存。
variation,relx-pod-pro2-pods-002,RELX悅刻 POD PRO 2 菸彈 - 冰爽紅茶,1,0,visible,299,1,instock,0,999,0,口味,冰爽紅茶,,1,0,1,https://sp2s.app/wp-content/uploads/2026/05/relx-pod-pro2-pods.jpg,relx-pod-pro2-pods,台灣現貨，支援貨到付款；下單前可透過 LINE ID 聯繫確認口味、規格與庫存。
variation,relx-pod-pro2-pods-003,RELX悅刻 POD PRO 2 菸彈 - 老冰棍,1,0,visible,299,1,instock,0,999,0,口味,老冰棍,,1,0,1,https://sp2s.app/wp-content/uploads/2026/05/relx-pod-pro2-pods.jpg,relx-pod-pro2-pods,台灣現貨，支援貨到付款；下單前可透過 LINE ID 聯繫確認口味、規格與庫存。
variation,relx-pod-pro2-pods-004,RELX悅刻 POD PRO 2 菸彈 - 沙士汽水,1,0,visible,299,1,instock,0,999,0,口味,沙士汽水,,1,0,1,https://sp2s.app/wp-content/uploads/2026/05/relx-pod-pro2-pods.jpg,relx-pod-pro2-pods,台灣現貨，支援貨到付款；下單前可透過 LINE ID 聯繫確認口味、規格與庫存。
variation,relx-pod-pro2-pods-005,RELX悅刻 POD PRO 2 菸彈 - 芒果,1,0,visible,299,1,instock,0,999,0,口味,芒果,,1,0,1,https://sp2s.app/wp-content/uploads/2026/05/relx-pod-pro2-pods.jpg,relx-pod-pro2-pods,台灣現貨，支援貨到付款；下單前可透過 LINE ID 聯繫確認口味、規格與庫存。
variation,relx-pod-pro2-pods-006,RELX悅刻 POD PRO 2 菸彈 - 金桔百香果,1,0,visible,299,1,instock,0,999,0,口味,金桔百香果,,1,0,1,https://sp2s.app/wp-content/uploads/2026/05/relx-pod-pro2-pods.jpg,relx-pod-pro2-pods,台灣現貨，支援貨到付款；下單前可透過 LINE ID 聯繫確認口味、規格與庫存。
variation,relx-pod-pro2-pods-007,RELX悅刻 POD PRO 2 菸彈 - 勁涼龍井,1,0,visible,299,1,instock,0,999,0,口味,勁涼龍井,,1,0,1,https://sp2s.app/wp-content/uploads/2026/05/relx-pod-pro2-pods.jpg,relx-pod-pro2-pods,台灣現貨，支援貨到付款；下單前可透過 LINE ID 聯繫確認口味、規格與庫存。
variation,relx-pod-pro2-pods-008,RELX悅刻 POD PRO 2 菸彈 - 勁涼檸檬紅茶,1,0,visible,299,1,instock,0,999,0,口味,勁涼檸檬紅茶,,1,0,1,https://sp2s.app/wp-content/uploads/2026/05/relx-pod-pro2-pods.jpg,relx-pod-pro2-pods,台灣現貨，支援貨到付款；下單前可透過 LINE ID 聯繫確認口味、規格與庫存。
variation,relx-pod-pro2-pods-009,RELX悅刻 POD PRO 2 菸彈 - 勁涼觀音,1,0,visible,299,1,instock,0,999,0,口味,勁涼觀音,,1,0,1,https://sp2s.app/wp-content/uploads/2026/05/relx-pod-pro2-pods.jpg,relx-pod-pro2-pods,台灣現貨，支援貨到付款；下單前可透過 LINE ID 聯繫確認口味、規格與庫存。
