Type,SKU,Name,Published,In stock?,Stock,Backorders allowed?,Parent
variable,relx-pod-pro2-pods,RELX悅刻 POD PRO 2 菸彈,1,1,999,0,
variation,relx-pod-pro2-pods-001,RELX悅刻 POD PRO 2 菸彈 - 可樂冰,1,1,999,0,relx-pod-pro2-pods
variation,relx-pod-pro2-pods-002,RELX悅刻 POD PRO 2 菸彈 - 冰爽紅茶,1,1,999,0,relx-pod-pro2-pods
variation,relx-pod-pro2-pods-003,RELX悅刻 POD PRO 2 菸彈 - 老冰棍,1,1,999,0,relx-pod-pro2-pods
variation,relx-pod-pro2-pods-004,RELX悅刻 POD PRO 2 菸彈 - 沙士汽水,1,1,999,0,relx-pod-pro2-pods
variation,relx-pod-pro2-pods-005,RELX悅刻 POD PRO 2 菸彈 - 芒果,1,1,999,0,relx-pod-pro2-pods
variation,relx-pod-pro2-pods-006,RELX悅刻 POD PRO 2 菸彈 - 金桔百香果,1,1,999,0,relx-pod-pro2-pods
variation,relx-pod-pro2-pods-007,RELX悅刻 POD PRO 2 菸彈 - 勁涼龍井,1,1,999,0,relx-pod-pro2-pods
variation,relx-pod-pro2-pods-008,RELX悅刻 POD PRO 2 菸彈 - 勁涼檸檬紅茶,1,1,999,0,relx-pod-pro2-pods
variation,relx-pod-pro2-pods-009,RELX悅刻 POD PRO 2 菸彈 - 勁涼觀音,1,1,999,0,relx-pod-pro2-pods
variation,relx-pod-pro2-pods-010,RELX悅刻 POD PRO 2 菸彈 - 勁爽薄荷,1,1,999,0,relx-pod-pro2-pods
variation,relx-pod-pro2-pods-011,RELX悅刻 POD PRO 2 菸彈 - 南極茉莉,1,1,999,0,relx-pod-pro2-pods
variation,relx-pod-pro2-pods-012,RELX悅刻 POD PRO 2 菸彈 - 洛神花茶,1,1,999,0,relx-pod-pro2-pods
variation,relx-pod-pro2-pods-013,RELX悅刻 POD PRO 2 菸彈 - 香芋冰淇淋,1,1,999,0,relx-pod-pro2-pods
variation,relx-pod-pro2-pods-014,RELX悅刻 POD PRO 2 菸彈 - 海鹽檸檬,1,1,999,0,relx-pod-pro2-pods
variation,relx-pod-pro2-pods-015,RELX悅刻 POD PRO 2 菸彈 - 草莓,1,1,999,0,relx-pod-pro2-pods
variation,relx-pod-pro2-pods-016,RELX悅刻 POD PRO 2 菸彈 - 荔枝,1,1,999,0,relx-pod-pro2-pods
variation,relx-pod-pro2-pods-017,RELX悅刻 POD PRO 2 菸彈 - 混合莓果,1,1,999,0,relx-pod-pro2-pods
variation,relx-pod-pro2-pods-018,RELX悅刻 POD PRO 2 菸彈 - 清涼西瓜,1,1,999,0,relx-pod-pro2-pods
variation,relx-pod-pro2-pods-019,RELX悅刻 POD PRO 2 菸彈 - 清新薄荷,1,1,999,0,relx-pod-pro2-pods
variation,relx-pod-pro2-pods-020,RELX悅刻 POD PRO 2 菸彈 - 雪碧,1,1,999,0,relx-pod-pro2-pods
variation,relx-pod-pro2-pods-021,RELX悅刻 POD PRO 2 菸彈 - 菠蘿,1,1,999,0,relx-pod-pro2-pods
variation,relx-pod-pro2-pods-022,RELX悅刻 POD PRO 2 菸彈 - 黃金奇異果,1,1,999,0,relx-pod-pro2-pods
variation,relx-pod-pro2-pods-023,RELX悅刻 POD PRO 2 菸彈 - 極涼青提,1,1,999,0,relx-pod-pro2-pods
variation,relx-pod-pro2-pods-024,RELX悅刻 POD PRO 2 菸彈 - 極涼青檸,1,1,999,0,relx-pod-pro2-pods
variation,relx-pod-pro2-pods-025,RELX悅刻 POD PRO 2 菸彈 - 經典菸草,1,1,999,0,relx-pod-pro2-pods
variation,relx-pod-pro2-pods-026,RELX悅刻 POD PRO 2 菸彈 - 葡萄,1,1,999,0,relx-pod-pro2-pods
variation,relx-pod-pro2-pods-027,RELX悅刻 POD PRO 2 菸彈 - 零度薄荷,1,1,999,0,relx-pod-pro2-pods
variation,relx-pod-pro2-pods-028,RELX悅刻 POD PRO 2 菸彈 - 綠豆,1,1,999,0,relx-pod-pro2-pods
variation,relx-pod-pro2-pods-029,RELX悅刻 POD PRO 2 菸彈 - 綠茶,1,1,999,0,relx-pod-pro2-pods
variation,relx-pod-pro2-pods-030,RELX悅刻 POD PRO 2 菸彈 - 蜜桃,1,1,999,0,relx-pod-pro2-pods
variation,relx-pod-pro2-pods-031,RELX悅刻 POD PRO 2 菸彈 - 蜜桃烏龍茶,1,1,999,0,relx-pod-pro2-pods
variation,relx-pod-pro2-pods-032,RELX悅刻 POD PRO 2 菸彈 - 熱情番石榴,1,1,999,0,relx-pod-pro2-pods
variation,relx-pod-pro2-pods-033,RELX悅刻 POD PRO 2 菸彈 - 樹頂蘋果,1,1,999,0,relx-pod-pro2-pods
variation,relx-pod-pro2-pods-034,RELX悅刻 POD PRO 2 菸彈 - 橘子汽水,1,1,999,0,relx-pod-pro2-pods
variation,relx-pod-pro2-pods-035,RELX悅刻 POD PRO 2 菸彈 - 藍莓,1,1,999,0,relx-pod-pro2-pods
variation,relx-pod-pro2-pods-036,RELX悅刻 POD PRO 2 菸彈 - 覆盆子冰,1,1,999,0,relx-pod-pro2-pods
variable,relx-infinity-pro2-host,RELX悅刻六代 Infinity Pro 2 主機通用4-5-6代,1,1,999,0,
variation,relx-infinity-pro2-host-001,RELX悅刻六代 Infinity Pro 2 主機通用4-5-6代 - 竹葉青PLUS,1,1,999,0,relx-infinity-pro2-host
variation,relx-infinity-pro2-host-002,RELX悅刻六代 Infinity Pro 2 主機通用4-5-6代 - 玫瑰金PLUS,1,1,999,0,relx-infinity-pro2-host
variation,relx-infinity-pro2-host-003,RELX悅刻六代 Infinity Pro 2 主機通用4-5-6代 - 星際灰PLUS,1,1,999,0,relx-infinity-pro2-host
variation,relx-infinity-pro2-host-004,RELX悅刻六代 Infinity Pro 2 主機通用4-5-6代 - 流光白PLUS,1,1,999,0,relx-infinity-pro2-host
variation,relx-infinity-pro2-host-005,RELX悅刻六代 Infinity Pro 2 主機通用4-5-6代 - 海軍綠,1,1,999,0,relx-infinity-pro2-host
variation,relx-infinity-pro2-host-006,RELX悅刻六代 Infinity Pro 2 主機通用4-5-6代 - 瑪瑙黑,1,1,999,0,relx-infinity-pro2-host
variation,relx-infinity-pro2-host-007,RELX悅刻六代 Infinity Pro 2 主機通用4-5-6代 - 瑪瑙黑PLUS,1,1,999,0,relx-infinity-pro2-host
variation,relx-infinity-pro2-host-008,RELX悅刻六代 Infinity Pro 2 主機通用4-5-6代 - 橄欖金PLUS,1,1,999,0,relx-infinity-pro2-host
variation,relx-infinity-pro2-host-009,RELX悅刻六代 Infinity Pro 2 主機通用4-5-6代 - 霞光紫,1,1,999,0,relx-infinity-pro2-host
variable,relx-phantom-gen5-host,RELX悅刻幻影五代主機 (4代5代6代通用),1,1,999,0,
variation,relx-phantom-gen5-host-001,RELX悅刻幻影五代主機 (4代5代6代通用) - 粉色-RELX-ES2六代主機,1,1,999,0,relx-phantom-gen5-host
variation,relx-phantom-gen5-host-002,RELX悅刻幻影五代主機 (4代5代6代通用) - 紫色-RELX-ES2六代主機,1,1,999,0,relx-phantom-gen5-host
variation,relx-phantom-gen5-host-003,RELX悅刻幻影五代主機 (4代5代6代通用) - 黑色-RELX-ES2六代主機,1,1,999,0,relx-phantom-gen5-host
variation,relx-phantom-gen5-host-004,RELX悅刻幻影五代主機 (4代5代6代通用) - 銀灰-RELX-ES2六代主機,1,1,999,0,relx-phantom-gen5-host
